NSC Name,IPEDS Name
rochester university,rochester college
wayne county community college,wayne county community college district
university of michigan flint,university of michigan-flint
university of michigan dearborn,university of michigan-dearborn
university of michigan,university of michigan-ann arbor
indiana university bloomington,indiana university-bloomington
bowling green state university,bowling green state university-main campus
university of northwestern ohio - coll of tech,university of northwestern ohio
university of northwestern ohio coll of bus,university of northwestern ohio
kent state university,kent state university at kent
collin county community college,collin county community college district
brookhaven college-dallas cc district,brookhaven college
college of wooster,the college of wooster
central state university-oh,central state university
north carolina a&t state university,north carolina a & t state university
baker college - allen park,baker college of allen park
